Rank_x,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio,Rank_y,Overall,Teaching,Research,Citations,Industry Income,International Outlook,Year
351–400,Clark UniversityUnited StatesCoursesEnquire,"3,045",11.5,23%,60 : 40,351–400,42.4–44.4,24.0,22.7,79.3,34.4,57.5,2020
351–400,University of ConnecticutUnited StatesCoursesEnquire,"32,446",15.2,9%,53 : 47,351–400,42.4–44.4,36.5,29.7,60.6,37.9,49.0,2020
351–400,University of CreteGreeceCourses,"13,321",23.4,4%,62 : 38,351–400,42.4–44.4,17.7,20.1,91.4,38.7,48.0,2020
351–400,University of DenverUnited StatesCoursesEnquire,"9,535",13.0,9%,57 : 43,351–400,42.4–44.4,40.5,22.3,75.4,35.8,27.8,2020
351–400,University of FlorenceItalyCourses,"34,686",20.4,11%,59 : 41,351–400,42.4–44.4,37.9,25.1,65.8,42.3,46.2,2020
351–400,"Goldsmiths, University of LondonUnited KingdomCoursesEnquire","8,486",15.3,35%,66 : 34,351–400,42.4–44.4,33.8,28.6,60.4,35.1,79.4,2020
351–400,Hanyang UniversitySouth KoreaCoursesExplore,"20,087",15.7,21%,,351–400,42.4–44.4,39.1,40.0,40.1,92.3,62.3,2020
351–400,Hasselt UniversityBelgiumCourses,"5,189",31.1,13%,47 : 53,351–400,42.4–44.4,28.3,38.1,56.6,49.7,68.1,2020
351–400,Hofstra UniversityUnited StatesCoursesExplore,"10,066",13.9,9%,57 : 43,351–400,42.4–44.4,38.4,13.2,79.3,34.4,29.8,2020
351–400,University of IcelandIcelandCourses,"8,135",13.9,12%,67 : 33,351–400,42.4–44.4,19.5,30.0,75.0,62.7,63.6,2020
351–400,IMT AtlantiqueFranceCourses,"1,676",8.2,44%,26 : 74,351–400,42.4–44.4,34.4,28.5,53.1,91.6,75.2,2020
351–400,Indian Institute of Technology IndoreIndiaCourses,"1,128",9.7,0%,17 : 83,351–400,42.4–44.4,32.5,23.7,77.1,39.9,19.7,2020
351–400,Iowa State UniversityUnited StatesCoursesEnquire,"32,469",18.8,12%,44 : 56,351–400,42.4–44.4,29.5,33.0,60.5,49.6,56.7,2020
351–400,Jordan University of Science and TechnologyJordanCourses,"21,512",13.4,17%,58 : 42,351–400,42.4–44.4,15.8,9.0,100.0,40.2,62.3,2020
351–400,Justus Liebig University GiessenGermanyCourses,"28,575",46.8,9%,62 : 38,351–400,42.4–44.4,37.7,34.1,53.8,41.6,53.9,2020
351–400,University of KentUnited KingdomCoursesExplore,"17,754",20.0,31%,53 : 47,351–400,42.4–44.4,24.1,28.4,67.9,35.0,91.5,2020
351–400,Khalifa UniversityUnited Arab EmiratesCoursesExplore,"3,651",9.5,26%,55 : 45,351–400,42.4–44.4,27.7,32.9,54.0,100.0,95.4,2020
351–400,Loughborough UniversityUnited KingdomCoursesEnquire,"14,749",14.3,25%,40 : 60,351–400,42.4–44.4,33.8,34.3,52.9,39.0,80.1,2020
351–400,University of ManitobaCanadaCoursesEnquire,"29,311",29.4,17%,53 : 47,351–400,42.4–44.4,28.0,30.8,69.9,36.5,53.4,2020
351–400,Nankai UniversityChinaCoursesExplore,"28,061",13.3,7%,,351–400,42.4–44.4,35.7,21.8,75.8,41.5,35.4,2020
351–400,University of Naples Federico IIItalyCourses,"49,604",19.6,2%,55 : 45,351–400,42.4–44.4,35.4,23.4,71.9,38.2,31.2,2020
351–400,National Tsing Hua UniversityTaiwanCourses,"14,853",18.0,10%,42 : 58,351–400,42.4–44.4,35.4,46.2,50.1,64.8,36.2,2020
351–400,Northumbria UniversityUnited KingdomCoursesEnquire,"21,811",17.5,17%,55 : 45,351–400,42.4–44.4,19.4,18.1,85.6,35.1,72.4,2020
351–400,"University of Occupational and Environmental Health, JapanJapanCoursesExplore","1,142",2.6,1%,54 : 46,351–400,42.4–44.4,26.9,9.6,99.8,40.2,18.1,2020
351–400,Örebro UniversitySwedenCourses,"9,735",18.5,6%,61 : 39,351–400,42.4–44.4,17.6,21.1,88.7,36.0,52.2,2020
351–400,Oregon State UniversityUnited StatesCoursesEnquire,"24,798",16.0,11%,46 : 54,351–400,42.4–44.4,30.9,30.1,67.2,37.7,52.9,2020
351–400,University of PerugiaItalyCourses,"24,830",32.3,6%,57 : 43,351–400,42.4–44.4,18.6,22.8,87.5,45.2,44.6,2020
351–400,University of PisaItalyCourses,"33,726",22.4,6%,51 : 49,351–400,42.4–44.4,31.2,26.5,74.3,40.5,40.9,2020
351–400,RMIT UniversityAustraliaCoursesEnquire,"33,848",22.4,30%,47 : 53,351–400,42.4–44.4,25.7,26.1,64.5,42.5,91.8,2020
351–400,University of SalernoItalyCourses,"24,290",25.8,2%,56 : 44,351–400,42.4–44.4,20.2,19.5,94.0,37.3,33.9,2020
351–400,SUNY University at AlbanyUnited StatesCoursesEnquire,"15,947",16.6,10%,52 : 48,351–400,42.4–44.4,24.0,35.4,72.8,40.1,49.6,2020
351–400,Swinburne University of TechnologyAustraliaCoursesEnquire,"14,379",27.9,27%,36 : 64,351–400,42.4–44.4,24.5,28.9,66.5,41.0,79.3,2020
351–400,Taipei Medical UniversityTaiwanCoursesExplore,"5,973",10.2,10%,57 : 43,351–400,42.4–44.4,28.7,31.8,67.9,94.9,38.0,2020
351–400,TU Dortmund UniversityGermanyCourses,"34,267",108.8,10%,45 : 55,351–400,42.4–44.4,37.6,41.4,54.2,45.8,42.2,2020
351–400,University of TurkuFinlandCourses,"12,785",16.3,6%,63 : 37,351–400,42.4–44.4,27.1,30.8,73.5,37.3,52.6,2020
351–400,TU WienAustriaCourses,"10,464",19.9,29%,29 : 71,351–400,42.4–44.4,38.4,36.8,45.5,63.7,84.0,2020
351–400,Université de Versailles Saint-Quentin-en-YvelinesFranceCourses,"16,621",21.2,15%,59 : 41,351–400,42.4–44.4,17.3,21.1,89.9,35.4,64.2,2020
351–400,Washington State UniversityUnited StatesCoursesEnquire,"27,957",18.1,7%,52 : 48,351–400,42.4–44.4,30.7,28.6,71.8,48.4,49.3,2020
351–400,Wayne State UniversityUnited StatesCoursesEnquire,"22,295",11.3,9%,55 : 45,351–400,42.4–44.4,33.3,18.1,83.3,45.4,37.6,2020
351–400,Wuhan UniversityChinaCoursesExplore,"52,502",14.6,7%,,351–400,42.4–44.4,44.0,34.0,52.5,84.7,40.4,2020
401–500,Aberystwyth UniversityUnited KingdomCoursesEnquire,"6,866",16.2,19%,49 : 51,401–500,38.8–42.3,24.8,22.9,66.3,39.7,78.1,2020
401–500,The University of AlabamaUnited StatesCoursesEnquire,"35,120",22.5,4%,56 : 44,401–500,38.8–42.3,26.9,22.4,77.4,35.3,28.9,2020
401–500,American UniversityUnited StatesCoursesEnquire,"11,750",11.0,12%,65 : 35,401–500,38.8–42.3,40.9,19.5,65.7,39.1,32.3,2020
401–500,Aswan UniversityEgyptCourses,"22,393",40.8,0%,59 : 41,401–500,38.8–42.3,11.9,8.7,100.0,34.4,44.6,2020
401–500,Bangor UniversityUnited KingdomCoursesEnquire,"9,590",16.3,23%,58 : 42,401–500,38.8–42.3,22.4,20.7,66.3,35.7,81.8,2020
401–500,University of Bari Aldo MoroItalyCourses,"29,564",20.5,1%,61 : 39,401–500,38.8–42.3,16.7,17.1,87.3,36.2,32.2,2020
401–500,Bond UniversityAustraliaCoursesEnquire,"3,341",10.3,43%,54 : 46,401–500,38.8–42.3,21.1,19.6,64.6,35.9,89.2,2020
401–500,University of BordeauxFranceCoursesExplore,"54,965",21.6,13%,58 : 42,401–500,38.8–42.3,30.0,22.7,66.8,36.4,58.4,2020
401–500,Bournemouth UniversityUnited KingdomCoursesEnquire,"13,692",17.1,18%,55 : 45,401–500,38.8–42.3,33.2,18.7,55.5,34.8,79.8,2020
401–500,Universiti Brunei DarussalamBrunei DarussalamCoursesExplore,"3,830",10.9,15%,67 : 33,401–500,38.8–42.3,23.0,19.3,74.4,34.8,85.8,2020
401–500,Cankaya UniversityTurkeyCourses,"9,164",28.4,2%,45 : 55,401–500,38.8–42.3,14.9,11.4,99.7,34.9,43.2,2020
401–500,Centrale NantesFranceCourses,"1,706",16.1,45%,26 : 74,401–500,38.8–42.3,30.4,29.6,48.6,83.2,84.1,2020
401–500,Central South UniversityChinaCoursesExplore,"51,546",18.4,2%,,401–500,38.8–42.3,32.0,33.9,56.0,84.1,26.0,2020
401–500,Charles University in PragueCzech RepublicCourses,"48,623",12.7,18%,62 : 38,401–500,38.8–42.3,32.9,25.9,53.0,34.8,58.7,2020
401–500,"City, University of LondonUnited KingdomCoursesEnquire","14,362",18.5,51%,56 : 44,401–500,38.8–42.3,26.1,27.8,57.7,35.5,94.9,2020
401–500,"Colorado State University, Fort CollinsUnited StatesCoursesEnquire","26,014",16.3,6%,53 : 47,401–500,38.8–42.3,27.8,25.3,64.1,38.4,38.4,2020
401–500,University of Côte d’AzurFranceCourses,"36,706",23.0,23%,55 : 45,401–500,38.8–42.3,30.0,18.3,68.5,40.4,83.2,2020
401–500,Covenant UniversityNigeriaCoursesExplore,"8,768",15.7,0%,43 : 57,401–500,38.8–42.3,27.2,14.7,78.4,43.8,26.2,2020
401–500,University of CyprusCyprusCoursesExplore,"6,635",22.0,11%,66 : 34,401–500,38.8–42.3,24.0,24.6,62.3,47.7,81.0,2020
401–500,University of DesarrolloChileCoursesExplore,"15,384",19.0,4%,56 : 44,401–500,38.8–42.3,13.5,8.8,99.1,36.8,48.1,2020
401–500,Diego Portales UniversityChileCourses,"17,287",14.9,2%,49 : 51,401–500,38.8–42.3,14.7,10.5,95.3,34.4,50.4,2020
401–500,Drexel UniversityUnited StatesCoursesEnquire,"19,801",11.1,17%,50 : 50,401–500,38.8–42.3,35.8,20.4,64.7,41.5,50.3,2020
401–500,University of Eastern FinlandFinlandCourses,"11,630",18.5,6%,64 : 36,401–500,38.8–42.3,24.7,27.9,70.7,39.2,50.2,2020
401–500,École des Mines de Saint-ÉtienneFranceCourses,973,8.1,25%,28 : 72,401–500,38.8–42.3,35.5,11.7,64.3,47.8,68.5,2020
401–500,Edith Cowan UniversityAustraliaCoursesExplore,"17,560",31.3,26%,60 : 40,401–500,38.8–42.3,18.7,21.9,67.8,39.1,82.9,2020
401–500,Federal University of Toulouse Midi-PyrénéesFranceCourses,"103,857",19.2,14%,54 : 46,401–500,38.8–42.3,28.5,25.9,60.6,37.0,63.0,2020
401–500,University of FerraraItalyCourses,"14,644",25.2,7%,56 : 44,401–500,38.8–42.3,21.0,20.2,75.0,40.3,45.5,2020
401–500,Free University of Bozen-BolzanoItalyCourses,"3,891",12.0,13%,67 : 33,401–500,38.8–42.3,20.6,13.1,77.9,35.4,76.4,2020
401–500,Fujita Health UniversityJapanCoursesExplore,"2,942",3.2,0%,55 : 45,401–500,38.8–42.3,24.5,9.7,91.1,36.8,18.6,2020
401–500,University of GenoaItalyCourses,"23,977",19.5,9%,55 : 45,401–500,38.8–42.3,32.1,23.1,63.8,42.9,43.9,2020
401–500,University of GeorgiaUnited StatesCoursesEnquire,"35,164",16.3,7%,57 : 43,401–500,38.8–42.3,34.9,35.8,55.8,37.2,46.0,2020
401–500,Georgia State UniversityUnited StatesCoursesEnquire,"29,290",14.4,6%,61 : 39,401–500,38.8–42.3,33.9,27.2,62.9,35.4,41.9,2020
401–500,Gwangju Institute of Science and TechnologySouth KoreaCourses,"2,098",12.1,6%,25 : 75,401–500,38.8–42.3,40.0,39.3,39.3,57.0,33.9,2020
401–500,Harbin Institute of TechnologyChinaCourses,"29,603",9.9,12%,32 : 68,401–500,38.8–42.3,39.5,36.8,44.0,99.3,36.7,2020
401–500,Hokkaido UniversityJapanCourses,"18,225",8.1,11%,31 : 69,401–500,38.8–42.3,45.7,40.1,30.0,58.7,39.2,2020
401–500,Hong Kong Baptist UniversityHong KongCoursesExplore,"8,759",11.6,45%,65 : 35,401–500,38.8–42.3,27.9,22.0,58.1,38.4,97.6,2020
401–500,University of HoustonUnited StatesCoursesEnquire,"44,128",25.7,9%,50 : 50,401–500,38.8–42.3,33.6,25.9,58.0,36.8,42.5,2020
401–500,Hunan UniversityChinaCourses,"40,715",20.4,2%,46 : 54,401–500,38.8–42.3,23.6,24.1,74.9,52.6,22.4,2020
401–500,Indian Institute of Technology BombayIndiaCourses,"10,267",16.1,1%,19 : 81,401–500,38.8–42.3,44.7,39.6,34.9,80.3,21.0,2020
401–500,Indian Institute of Technology DelhiIndiaCourses,"7,284",14.8,1%,20 : 80,401–500,38.8–42.3,48.5,27.9,49.0,73.9,17.6,2020
401–500,Indian Institute of Technology KharagpurIndiaCourses,"9,167",12.3,0%,18 : 82,401–500,38.8–42.3,41.3,38.9,39.0,91.9,18.8,2020
401–500,University of InnsbruckAustriaCourses,"14,128",12.6,40%,53 : 47,401–500,38.8–42.3,27.6,21.8,62.0,43.1,97.4,2020
401–500,ITMO UniversityRussian FederationCourses,"10,206",13.1,16%,37 : 63,401–500,38.8–42.3,30.6,28.0,49.8,84.6,62.1,2020
401–500,University of KansasUnited StatesCoursesEnquire,"24,526",9.9,9%,52 : 48,401–500,38.8–42.3,36.9,22.6,68.3,43.5,35.4,2020
401–500,University of KentuckyUnited StatesCoursesEnquire,"27,078",12.4,4%,55 : 45,401–500,38.8–42.3,37.0,24.9,55.5,38.4,38.0,2020
401–500,University of KwaZulu-NatalSouth AfricaCoursesExplore,"36,660",29.2,4%,58 : 42,401–500,38.8–42.3,25.4,28.7,70.1,36.8,55.0,2020
401–500,Kyushu UniversityJapanCourses,"18,643",8.8,13%,28 : 72,401–500,38.8–42.3,44.2,39.2,34.3,75.3,38.8,2020
401–500,Leibniz University HannoverGermanyCourses,"27,625",54.0,14%,40 : 60,401–500,38.8–42.3,36.8,29.9,46.1,52.3,48.6,2020
401–500,Linköping UniversitySwedenCoursesVerify Documents,"18,544",11.2,12%,53 : 47,401–500,38.8–42.3,22.7,23.6,75.4,48.1,59.3,2020
401–500,Liverpool John Moores UniversityUnited KingdomCoursesEnquire,"19,461",17.4,14%,53 : 47,401–500,38.8–42.3,17.7,17.5,78.2,34.9,71.8,2020
401–500,Mansoura UniversityEgyptCourses,"140,126",24.9,3%,55 : 45,401–500,38.8–42.3,19.1,9.2,88.1,39.6,44.3,2020
401–500,Middlesex UniversityUnited KingdomCoursesEnquire,"15,649",18.0,45%,60 : 40,401–500,38.8–42.3,19.4,17.3,74.2,34.6,88.3,2020
401–500,University of Milan-BicoccaItalyCourses,"26,509",28.9,6%,62 : 38,401–500,38.8–42.3,23.7,20.2,80.7,39.1,44.3,2020
401–500,University of Missouri-St LouisUnited StatesCoursesEnquire,"7,019",16.0,6%,58 : 42,401–500,38.8–42.3,30.0,24.7,70.3,40.4,40.6,2020
401–500,Mizzou - University of MissouriUnited StatesCoursesEnquire,"28,513",13.3,6%,53 : 47,401–500,38.8–42.3,34.9,24.2,65.7,35.5,39.9,2020
401–500,University of Modena and Reggio EmiliaItalyCourses,"17,432",24.8,6%,54 : 46,401–500,38.8–42.3,32.1,19.7,69.3,43.5,39.2,2020
401–500,Murdoch UniversityAustraliaCoursesExplore,"14,905",27.7,37%,60 : 40,401–500,38.8–42.3,18.5,24.9,61.9,51.0,90.8,2020
401–500,National Research Nuclear University MEPhIRussian FederationCourses,"6,489",10.8,24%,31 : 69,401–500,38.8–42.3,37.5,36.1,33.6,100.0,63.7,2020
401–500,University of Nebraska-LincolnUnited StatesCoursesExplore,"24,610",17.2,11%,48 : 52,401–500,38.8–42.3,30.1,28.0,63.2,38.6,56.7,2020
401–500,New Mexico Institute of Mining and TechnologyUnited StatesCoursesEnquire,"1,809",11.3,8%,30 : 70,401–500,38.8–42.3,22.3,14.6,70.6,78.1,62.9,2020
401–500,Norwegian University of Science and TechnologyNorwayCoursesVerify Documents,"35,181",15.8,8%,48 : 52,401–500,38.8–42.3,26.2,28.3,64.3,38.5,62.2,2020
401–500,Oklahoma State UniversityUnited StatesCoursesEnquire,"21,494",15.8,7%,50 : 50,401–500,38.8–42.3,24.1,21.5,71.1,36.9,44.3,2020
401–500,University of PaviaItalyCourses,"24,623",41.5,8%,56 : 44,401–500,38.8–42.3,24.6,25.7,65.5,55.5,47.0,2020
401–500,University of PeradeniyaSri LankaCourses,"17,482",10.8,1%,61 : 39,401–500,38.8–42.3,16.5,7.6,100.0,35.4,43.3,2020
401–500,University of the PhilippinesPhilippinesCourses,"39,877",8.4,1%,58 : 42,401–500,38.8–42.3,24.1,17.2,86.9,39.4,37.9,2020
401–500,Polytechnic University of BariItalyCourses,"6,122",24.4,1%,33 : 67,401–500,38.8–42.3,17.3,22.1,84.1,37.1,30.9,2020
401–500,Pontifical Javeriana UniversityColombiaCourses,"30,048",15.4,1%,55 : 45,401–500,38.8–42.3,15.3,8.9,98.6,34.8,44.6,2020
401–500,University of PortoPortugalCourses,"32,020",18.7,15%,55 : 45,401–500,38.8–42.3,27.4,27.9,62.1,38.7,53.9,2020
401–500,University of PortsmouthUnited KingdomCoursesEnquire,"20,186",15.4,26%,45 : 55,401–500,38.8–42.3,17.8,16.2,71.0,34.9,87.7,2020
401–500,Qatar UniversityQatarCourses,"15,585",17.3,38%,76 : 24,401–500,38.8–42.3,19.6,27.2,64.7,49.3,99.6,2020
401–500,Quaid-i-Azam UniversityPakistanCourses,"14,694",24.8,1%,57 : 43,401–500,38.8–42.3,20.5,18.6,81.5,34.4,45.5,2020
401–500,Rensselaer Polytechnic InstituteUnited StatesCoursesEnquireAdmissions Support,"7,798",15.6,20%,32 : 68,401–500,38.8–42.3,30.0,28.7,58.9,67.0,52.1,2020
401–500,Royal Veterinary CollegeUnited KingdomCoursesEnquire,"2,067",10.9,19%,78 : 22,401–500,38.8–42.3,27.2,18.3,69.1,43.5,86.6,2020
401–500,Sabancı UniversityTurkeyCoursesExplore,"3,605",21.5,9%,37 : 63,401–500,38.8–42.3,27.8,35.3,55.8,65.4,52.0,2020
401–500,University of St GallenSwitzerlandCourses,"7,579",11.8,34%,35 : 65,401–500,38.8–42.3,30.6,19.6,59.0,43.4,95.7,2020
401–500,University of SaskatchewanCanadaCoursesEnquireExplore,"17,194",17.7,20%,56 : 44,401–500,38.8–42.3,35.9,26.9,48.1,59.2,72.6,2020
401–500,Sciences PoFranceCourses,"11,915",45.1,34%,60 : 40,401–500,38.8–42.3,29.8,27.0,56.8,38.2,76.0,2020
401–500,Sejong UniversitySouth KoreaCourses,"12,119",17.0,10%,47 : 53,401–500,38.8–42.3,23.4,20.8,75.4,40.0,42.6,2020
401–500,Semmelweis UniversityHungaryCoursesExplore,"10,996",9.8,31%,68 : 32,401–500,38.8–42.3,26.2,12.3,74.0,36.2,75.0,2020
401–500,University of SienaItalyCourses,"12,636",14.8,8%,59 : 41,401–500,38.8–42.3,37.9,21.6,67.6,37.5,43.1,2020
401–500,SOAS University of LondonUnited KingdomCoursesExplore,"5,194",12.1,53%,65 : 35,401–500,38.8–42.3,41.9,37.7,31.2,34.4,79.5,2020
401–500,University of South Carolina-ColumbiaUnited StatesCoursesEnquire,"32,291",16.2,5%,55 : 45,401–500,38.8–42.3,33.2,25.5,63.7,36.2,43.2,2020
401–500,University of StrasbourgFranceCourses,"46,898",18.8,20%,58 : 42,401–500,38.8–42.3,28.7,21.1,62.3,37.7,71.9,2020
401–500,University of StrathclydeUnited KingdomCoursesEnquire,"18,517",19.0,27%,50 : 50,401–500,38.8–42.3,28.3,31.6,51.9,43.6,86.2,2020
401–500,Technion Israel Institute of TechnologyIsraelCourses,"14,703",21.8,5%,36 : 64,401–500,38.8–42.3,32.4,31.5,56.8,36.5,63.7,2020
401–500,Teikyo UniversityJapanCourses,"22,873",16.7,2%,34 : 66,401–500,38.8–42.3,14.8,10.8,95.9,36.5,19.2,2020
401–500,The University of Texas at San AntonioUnited StatesCoursesEnquire,"24,435",24.5,4%,51 : 49,401–500,38.8–42.3,18.1,21.1,78.0,36.2,36.4,2020
401–500,Tokyo Medical and Dental University (TMDU)JapanCourses,"2,999",3.3,9%,49 : 51,401–500,38.8–42.3,45.2,24.2,58.1,63.1,27.1,2020
401–500,Tongji UniversityChinaCourses,"35,690",13.1,13%,45 : 55,401–500,38.8–42.3,35.5,43.6,34.6,98.2,56.0,2020
401–500,University of TriesteItalyCourses,"15,933",23.5,8%,55 : 45,401–500,38.8–42.3,30.1,22.7,66.9,37.7,47.8,2020
401–500,University of TsukubaJapanCourses,"16,844",13.6,21%,39 : 61,401–500,38.8–42.3,43.3,37.2,34.4,44.6,44.3,2020
401–500,The University of TulsaUnited StatesCoursesEnquire,"5,067",12.4,16%,45 : 55,401–500,38.8–42.3,33.5,16.2,68.9,50.5,39.6,2020
401–500,University of TurinItalyCourses,"55,957",29.6,8%,61 : 39,401–500,38.8–42.3,22.6,27.3,75.3,45.4,44.3,2020
401–500,UiT The Arctic University of NorwayNorwayCourses,"16,475",13.0,10%,59 : 41,401–500,38.8–42.3,21.5,18.0,80.0,36.0,64.5,2020
401–500,University of Urbino Carlo BoItalyCourses,"14,278",39.6,6%,61 : 39,401–500,38.8–42.3,17.1,14.6,88.4,37.4,49.8,2020
401–500,University of ValenciaSpainCourses,"50,311",14.9,12%,62 : 38,401–500,38.8–42.3,24.6,20.8,70.8,37.0,47.0,2020
401–500,Verona UniversityItalyCourses,"19,873",27.5,5%,64 : 36,401–500,38.8–42.3,31.5,20.3,63.7,42.4,41.2,2020
401–500,University of VictoriaCanadaCoursesEnquire,"21,169",25.7,20%,55 : 45,401–500,38.8–42.3,23.6,15.9,70.1,44.9,87.2,2020
401–500,Yasouj UniversityIranCourses,"6,332",27.5,0%,46 : 54,401–500,38.8–42.3,15.1,15.5,91.8,35.7,15.6,2020
401–500,York UniversityCanadaCoursesExplore,"46,683",35.4,24%,57 : 43,401–500,38.8–42.3,28.2,37.6,50.7,45.4,75.0,2020
501–600,University of Alabama in HuntsvilleUnited StatesCoursesEnquire,"6,729",16.3,8%,43 : 57,501–600,35.3–38.7,22.2,22.4,58.1,68.4,44.9,2020
501–600,Amirkabir University of TechnologyIranCourses,"11,580",21.6,2%,35 : 65,501–600,35.3–38.7,34.2,31.8,43.2,76.5,21.9,2020
501–600,University of L’AquilaItalyCourses,"18,867",55.3,4%,57 : 43,501–600,35.3–38.7,30.8,18.7,65.4,41.4,32.3,2020
501–600,Aston UniversityUnited KingdomCoursesEnquire,"11,113",21.1,26%,48 : 52,501–600,35.3–38.7,21.0,24.2,55.1,37.1,92.4,2020
501–600,Universidad Autónoma de ChileChileCourses,"23,312",26.2,1%,65 : 35,501–600,35.3–38.7,12.3,8.9,81.6,34.4,50.7,2020
501–600,Bar-Ilan UniversityIsraelCourses,"16,723",17.5,5%,60 : 40,501–600,35.3–38.7,29.9,36.5,44.2,46.6,52.9,2020
501–600,Beihang UniversityChinaCourses,"29,952",13.7,6%,,501–600,35.3–38.7,30.4,34.2,38.1,98.2,28.7,2020
501–600,Bilkent UniversityTurkeyCourses,"10,374",14.5,9%,46 : 54,501–600,35.3–38.7,24.5,24.7,53.1,55.1,62.8,2020
501–600,SUNY Binghamton UniversityUnited StatesCoursesEnquire,"17,848",23.3,14%,49 : 51,501–600,35.3–38.7,22.8,21.9,62.0,36.8,42.7,2020
501–600,Université Bourgogne Franche-Comté (UBFC)FranceCourses,"59,858",32.9,11%,53 : 47,501–600,35.3–38.7,23.2,13.8,71.1,38.6,52.3,2020
501–600,University of BresciaItalyCourses,"14,206",27.2,7%,46 : 54,501–600,35.3–38.7,15.4,17.0,71.2,38.1,43.1,2020
501–600,University of CampinasBrazilCourses,"28,795",15.1,3%,47 : 53,501–600,35.3–38.7,44.6,38.0,34.8,44.8,30.6,2020
501–600,Carleton UniversityCanadaCoursesEnquire,"27,570",29.7,21%,48 : 52,501–600,35.3–38.7,20.2,27.2,57.1,36.1,69.0,2020
501–600,University of CataniaItalyCourses,"25,392",20.4,2%,57 : 43,501–600,35.3–38.7,33.1,17.7,67.6,36.9,29.8,2020
501–600,Catholic University of the Sacred HeartItalyCourses,"28,725",21.6,7%,65 : 35,501–600,35.3–38.7,18.4,20.9,72.6,44.8,45.3,2020
501–600,CentraleSupélecFranceCourses,"4,226",10.2,29%,22 : 78,501–600,35.3–38.7,29.4,21.1,48.9,60.9,81.8,2020
501–600,Charles Darwin UniversityAustraliaCoursesEnquire,"6,314",22.8,32%,66 : 34,501–600,35.3–38.7,19.9,24.3,51.4,45.2,81.1,2020
501–600,Institute of Chemical TechnologyIndiaCourses,"2,146",18.2,0%,34 : 66,501–600,35.3–38.7,38.3,24.1,47.1,77.4,14.4,2020
501–600,"China Medical University, TaiwanTaiwanCoursesExplore","7,603",16.5,8%,54 : 46,501–600,35.3–38.7,25.8,32.4,45.9,87.7,31.4,2020
501–600,Chung-Ang UniversitySouth KoreaCourses,"16,681",22.1,18%,,501–600,35.3–38.7,37.9,37.0,25.2,64.6,49.7,2020
501–600,Claude Bernard University Lyon 1FranceCourses,"26,875",12.7,13%,53 : 47,501–600,35.3–38.7,26.0,24.0,58.0,38.6,56.7,2020
501–600,Complutense University of MadridSpainCoursesVerify Documents,"62,624",19.7,13%,61 : 39,501–600,35.3–38.7,35.4,28.9,47.2,36.1,44.0,2020
501–600,East China Normal UniversityChinaCoursesExplore,"25,747",11.5,17%,65 : 35,501–600,35.3–38.7,30.5,23.5,50.5,50.6,58.4,2020
501–600,Florida International UniversityUnited StatesCoursesExplore,"34,203",23.8,8%,57 : 43,501–600,35.3–38.7,30.4,22.6,62.3,38.0,39.7,2020
501–600,University of GrazAustriaCourses,"20,312",21.9,13%,65 : 35,501–600,35.3–38.7,22.9,18.3,56.1,35.8,76.0,2020
501–600,Graz University of TechnologyAustriaCourses,"6,370",10.0,20%,23 : 77,501–600,35.3–38.7,30.5,17.5,50.1,71.5,78.2,2020
501–600,University of GreifswaldGermanyCourses,"10,247",21.1,7%,56 : 44,501–600,35.3–38.7,30.0,22.4,60.2,39.1,47.0,2020
501–600,University of GuelphCanadaCoursesEnquire,"22,165",29.1,9%,59 : 41,501–600,35.3–38.7,26.2,29.4,47.4,48.6,57.7,2020
501–600,Hacettepe UniversityTurkeyCourses,"47,035",22.0,4%,56 : 44,501–600,35.3–38.7,28.4,13.1,70.5,37.5,25.0,2020
501–600,University of HaifaIsraelCourses,"16,164",21.0,2%,66 : 34,501–600,35.3–38.7,26.7,31.9,52.8,36.3,35.9,2020
501–600,Hamburg University of TechnologyGermanyCourses,"5,216",35.2,19%,27 : 73,501–600,35.3–38.7,36.2,23.9,42.5,79.1,52.7,2020
501–600,University of HullUnited KingdomCoursesEnquire,"14,047",18.2,19%,53 : 47,501–600,35.3–38.7,22.3,23.0,56.1,36.3,76.5,2020
501–600,University of IbadanNigeriaCourses,"26,648",16.4,1%,48 : 52,501–600,35.3–38.7,23.4,12.1,77.6,41.4,37.1,2020
501–600,University of IdahoUnited StatesCoursesEnquire,"9,694",17.0,8%,48 : 52,501–600,35.3–38.7,33.3,21.1,53.4,36.2,45.9,2020
501–600,Indian Institute of Technology GandhinagarIndiaCourses,"1,222",11.2,0%,22 : 78,501–600,35.3–38.7,21.1,11.5,76.0,45.1,28.0,2020
501–600,Indian Institute of Technology RoorkeeIndiaCourses,"7,561",16.4,2%,16 : 84,501–600,35.3–38.7,38.9,28.2,46.6,72.5,16.5,2020
501–600,University of InsubriaItalyCourses,"7,646",22.1,6%,55 : 45,501–600,35.3–38.7,18.5,19.5,72.1,36.6,40.2,2020
501–600,University of JyväskyläFinlandCourses,"10,200",15.0,5%,61 : 39,501–600,35.3–38.7,26.7,30.8,54.3,35.8,50.7,2020
501–600,Kansai Medical UniversityJapanCourses,841,1.1,3%,38 : 62,501–600,35.3–38.7,32.3,8.7,70.0,35.6,17.7,2020
501–600,University of KashanIranCourses,"8,438",27.4,3%,53 : 47,501–600,35.3–38.7,19.6,18.2,75.2,35.6,18.7,2020
