Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio,Overall,Teaching,Research,Citations,Industry Income,International Outlook,Year,Country
459,National Cheng Kung University ( N C K U) Taiwan,"21,157",14.3,11%,36 : 64,32.6—37.5,30.4,38,29.2,99.4,29.9,2017,Taiwan
460,National Chiao Tung University Taiwan,"12,609",17.1,6%,27 : 73,32.6—37.5,33,40.2,35.3,89.3,33.4,2017,Taiwan
461,National Research Nuclear University M E Ph I Russian Federation,"7,297",9.8,10%,29 : 71,32.6—37.5,38,27.2,41.9,99.7,35.9,2017,Russian Federation
462,National Taiwan University of Science and Technology ( Taiwan Tech) Taiwan,"8,070",19,11%,31 : 69,32.6—37.5,30.1,40.5,38.5,70.1,32.3,2017,Taiwan
463,University of Neuchâtel Switzerland,"4,208",8.8,22%,60:40:00,32.6—37.5,24.9,17.6,46.1,34,91.4,2017,Switzerland
464,New Mexico State University ( Main campus) United States,"14,479",17.8,7%,53:47:00,32.6—37.5,19.8,21,59.3,36.9,33,2017,United States
465,University of Nice Sophia Antipolis France,"28,218",20.7,21%,56:44:00,32.6—37.5,21.9,8,58.1,32.5,79.2,2017,France
466,Northern Arizona University United States,"23,167",24.8,5%,66:34:00,32.6—37.5,18.8,11.2,82.7,32.6,26.9,2017,United States
467,Novosibirsk State University Russian Federation,"7,125",6.7,14%,50:50:00,32.6—37.5,43.2,28.3,33.6,36.3,36,2017,Russian Federation
468,The Open University United Kingdom,"70,859",33.9,8%,61:39:00,32.6—37.5,18.8,15.8,58.8,32.6,51.7,2017,United Kingdom
469,Oxford Brookes University United Kingdom,"12,928",17.5,27%,57:43:00,32.6—37.5,27.7,25.3,37.8,32.3,71.5,2017,United Kingdom
470,Panthéon- Sorbonne University – Paris 1 France,"40,121",32.8,20%,60:40:00,32.6—37.5,48,40.6,7.3,32.4,50.3,2017,France
471,University of Pisa Italy,"50,937",19.8,5%,52:48:00,32.6—37.5,20.4,18.5,73.3,36.5,34.3,2017,Italy
472,Pontifical Catholic University of Chile Chile,"26,188",15.6,7%,,32.6—37.5,27.5,23,41.8,35.7,53.2,2017,Chile
473,University of Porto Portugal,"31,753",18.6,9%,54:46:00,32.6—37.5,28.6,26.2,42.3,39.9,45.3,2017,Portugal
474,University of Portsmouth United Kingdom,"18,949",16.4,25%,45:55:00,32.6—37.5,16.7,13.2,61.8,32.6,82.4,2017,United Kingdom
475,Université du Québec à Montréal Canada,"28,830",26.1,19%,61:39:00,32.6—37.5,23.9,20.7,54.3,32.4,58.5,2017,Canada
476,R M I T University Australia,"30,795",17.3,26%,47:53:00,32.6—37.5,23,20.7,53.6,40,85.6,2017,Australia
477,Renmin University of China China,"24,859",11.7,6%,,32.6—37.5,42.5,19.4,35.4,43.2,46,2017,China
478,University of Rome I I – Tor Vergata Italy,"31,393",18.4,6%,51:49:00,32.6—37.5,25.5,15.3,64.2,38.9,37.9,2017,Italy
479,University of Rome I I I Italy,"35,290",59,4%,59:41:00,32.6—37.5,23.4,20.6,67.5,37.6,37.2,2017,Italy
480,Rovira i Virgili University Spain,"12,637",13,10%,60:40:00,32.6—37.5,21.5,15.8,72.1,35.2,45.5,2017,Spain
481,Saint Petersburg State University Russian Federation,"21,924",5.5,7%,64:36:00,32.6—37.5,48.4,30.7,34,33.3,34,2017,Russian Federation
482,University of Salento Italy,"19,983",58.8,1%,64:36:00,32.6—37.5,25,11.8,65.6,37.6,25.2,2017,Italy
483,San Diego State University United States,"28,358",31.8,6%,56:44:00,32.6—37.5,20.9,28.8,64.4,33.2,27.3,2017,United States
484,University of Saskatchewan Canada,"19,154",17.9,15%,57:43:00,32.6—37.5,34.2,25,43.5,69,64.4,2017,Canada
485,University of Siegen Germany,"19,139",54.4,11%,50:50:00,32.6—37.5,22.2,24,60.8,40.7,50.1,2017,Germany
486,S O A S University of London United Kingdom,"4,756",11.5,54%,63:37:00,32.6—37.5,32.9,29.4,29.7,32.2,76,2017,United Kingdom
487,University of St Gallen Switzerland,"7,175",11.3,34%,33 : 67,32.6—37.5,27.2,14.8,50.9,42.8,96.5,2017,Switzerland
488,Stellenbosch University South Africa,"22,478",23.9,8%,53:47:00,32.6—37.5,28.6,24.8,53,32.1,50.3,2017,South Africa
489,Stevens Institute of Technology United States,"5,999",18.3,34%,29 : 71,32.6—37.5,21.8,18.3,52.2,33.7,77.3,2017,United States
490,University of Strathclyde United Kingdom,"15,770",19.8,22%,49:51:00,32.6—37.5,24.2,31.2,36.2,46.6,75.1,2017,United Kingdom
491,Sun Yat-sen University China,"51,866",16.9,8%,51:49:00,32.6—37.5,35.3,26.3,50,54.1,29.6,2017,China
492,Tokyo Medical and Dental University ( T M D U) Japan,"2,906",3.2,7%,50:50:00,32.6—37.5,39.4,19.5,50.1,58.2,23.2,2017,Japan
493,Tokyo Metropolitan University Japan,"9,294",9.6,4%,35 : 65,32.6—37.5,22.6,13.4,68.5,34,21.4,2017,Japan
494,University of Tsukuba Japan,"16,271",12.6,17%,38 : 62,32.6—37.5,40.1,32.7,35.1,42.4,37.1,2017,Japan
495,Ui T The Arctic University of Norway Norway,"12,180",12,12%,60:40:00,32.6—37.5,22.7,17,64.3,36.9,67.3,2017,Norway
496,Verona University Italy,"24,390",18.7,6%,64:36:00,32.6—37.5,23.1,13.4,73.4,42.1,40.9,2017,Italy
497,University of Waikato New Zealand,"9,904",16.8,26%,57:43:00,32.6—37.5,20.9,23.2,49.5,34.7,87.8,2017,New Zealand
498,Western Sydney University Australia,"30,734",28.6,13%,57:43:00,32.6—37.5,17.9,24.4,57.9,35.6,77.5,2017,Australia
499,Wuhan University China,"49,152",14,7%,,32.6—37.5,40.9,30.2,29.2,91.1,37.5,2017,China
500,Xiamen University China,"42,210",15.6,4%,49:51:00,32.6—37.5,26.7,21.6,54.2,7.7,25.5,2017,China
501,École normale supérieure Paris- Saclay France,"1,505",9.6,7%,26 : 74,32.6—37.5,32.1,9.6,54,44,50.7,2017,France
502,American University of Beirut Lebanon,"7,836",8.8,23%,52:48:00,27.6—32.5,28.5,12.8,38.4,38.5,88.1,2017,Lebanon
503,"University of the Andes, Colombia Colombia","16,880",17.5,2%,44:56:00,27.6—32.5,19.9,14.9,50,49.4,55.5,2017,Colombia
504,University of Arkansas United States,"23,545",20.3,5%,51:49:00,27.6—32.5,24.4,19.2,39.2,39.1,27.9,2017,United States
505,Athens University of Economics and Business Greece,"11,659",48,6%,44:56:00,27.6—32.5,16.9,20.5,41.2,37.9,43.1,2017,Greece
506,Auckland University of Technology New Zealand,"17,627",16.9,39%,59:41:00,27.6—32.5,17.8,12.5,45.9,33.9,94.8,2017,New Zealand
507,University of the Basque Country Spain,"44,806",14.8,6%,52:48:00,27.6—32.5,20.9,14.3,50.2,34.7,37.9,2017,Spain
508,Ben- Gurion University of the Negev Israel,"16,477",20.1,3%,51:49:00,27.6—32.5,23.8,27.5,35.5,42.9,34.5,2017,Israel
509,Bond University Australia,"3,201",13.6,35%,53:47:00,27.6—32.5,18.7,21.2,37.1,36.3,89.5,2017,Australia
510,Université Bourgogne Franche- Comté ( U B F C) France,"54,487",26.2,11%,53:47:00,27.6—32.5,21.5,11.7,56.6,34.5,51.6,2017,France
511,University of Cagliari Italy,"29,743",30.5,2%,62:38:00,27.6—32.5,19,12.2,56.6,35.2,34.5,2017,Italy
512,Carleton University Canada,"25,795",30.4,19%,48:52:00,27.6—32.5,19.5,25.6,33.9,33.9,63.6,2017,Canada
513,University of Catania Italy,"53,120",33.9,1%,61:39:00,27.6—32.5,15.3,12.9,68.3,34.6,26.8,2017,Italy
514,Catholic University of the Sacred Heart Italy,"30,263",18.9,8%,,27.6—32.5,18,7.6,56.4,40.3,39.1,2017,Italy
515,Ca’ Foscari University of Venice Italy,"20,478",41.9,7%,65:35:00,27.6—32.5,21.1,25.9,46.1,35.3,41.2,2017,Italy
516,University of Chile Chile,"38,079",17.4,4%,47:53:00,27.6—32.5,25.4,18.4,36.9,32.1,46.7,2017,Chile
517,China Agricultural University China,"18,945",11.7,2%,58:42:00,27.6—32.5,33.9,21.8,29.4,47.8,18.6,2017,China
518,"China Medical University, Taiwan Taiwan","7,810",16.4,9%,53:47:00,27.6—32.5,24,24.4,45.2,69.6,27,2017,Taiwan
519,Complutense University of Madrid Spain,"63,925",20.3,12%,62:38:00,27.6—32.5,30.7,27.1,36.7,36,40.1,2017,Spain
520,Concordia University Canada,"31,440",30.6,27%,50:50:00,27.6—32.5,19.2,24.7,40.9,34.4,79.2,2017,Canada
521,Creighton University United States,"7,127",9.8,9%,57:43:00,27.6—32.5,42.3,9.7,45.1,35.7,27.8,2017,United States
522,East China Normal University China,"28,674",13.4,11%,64:36:00,27.6—32.5,27.4,18.7,46.7,45.1,41.6,2017,China
523,East China University of Science and Technology China,"23,869",13.3,5%,38 : 62,27.6—32.5,22.5,15.2,51.9,60.7,25.6,2017,China
524,Edith Cowan University Australia,"16,540",35.8,17%,61:39:00,27.6—32.5,17.9,19.1,45.7,36.5,68.5,2017,Australia
525,University of Granada Spain,"59,530",17.6,9%,58:42:00,27.6—32.5,21.9,16.8,46.3,33.2,43.1,2017,Spain
526,Harbin Institute of Technology China,"31,580",10.6,8%,29 : 71,27.6—32.5,31.1,27.7,24.4,97.7,27.9,2017,China
527,University of Hertfordshire United Kingdom,"17,552",17,27%,53:47:00,27.6—32.5,15.9,11.5,56.2,33,77.5,2017,United Kingdom
528,Hiroshima University Japan,"14,639",8.2,6%,36 : 64,27.6—32.5,30,14,41.2,45.4,24,2017,Japan
529,University of Hull United Kingdom,"14,518",18,20%,52:48:00,27.6—32.5,19.9,20.8,46.4,34.2,73.3,2017,United Kingdom
530,Indian Institute of Technology Kharagpur India,"10,586",17.6,0%,0.725,27.6—32.5,31,19.4,44.5,49.5,16,2017,India
531,Indian Institute of Technology Roorkee India,"8,134",14.2,1%,0.765972222,27.6—32.5,26.9,15.8,55.1,64.3,15.2,2017,India
532,University of Ioannina Greece,"21,266",39.3,4%,57:43:00,27.6—32.5,14.3,14.8,64.8,35.5,40.3,2017,Greece
533,Iran University of Science and Technology Iran,"12,236",28.2,0%,29 : 71,27.6—32.5,23.2,23.7,41.8,50.7,13.9,2017,Iran
534,Istanbul Technical University Turkey,"34,649",16.6,5%,33 : 67,27.6—32.5,24,24.6,32.4,100,24.8,2017,Turkey
535,Jadavpur University India,"11,017",16.7,0%,32 : 68,27.6—32.5,32.1,15.4,37.6,39.1,14.1,2017,India
536,Kansas State University United States,"21,472",14.3,10%,49:51:00,27.6—32.5,25,17.9,40.7,44.4,43.9,2017,United States
537,"Khalifa University of Science, Technology and Research United Arab Emirates","1,047",8.7,22%,49:51:00,27.6—32.5,24.9,12.1,43.2,45.8,93.3,2017,Emirates
538,King Saud University Saudi Arabia,"40,404",13.4,7%,,27.6—32.5,24,27.9,28.7,96.4,76,2017,Saudi Arabia
539,University of Kwa Zulu- Natal South Africa,"32,074",25.9,5%,59:41:00,27.6—32.5,21.5,25.3,42.9,39.5,59.4,2017,South Africa
540,Lappeenranta- Lahti University of Technology L U T Finland,"3,576",23,20%,31 : 69,27.6—32.5,28.4,26.3,28.7,61.5,55.9,2017,Finland
541,University of Limerick Ireland,"13,250",20.8,17%,47:53:00,27.6—32.5,18.5,19,44.3,36,82.6,2017,Ireland
542,Liverpool John Moores University United Kingdom,"18,198",18.4,14%,53:47:00,27.6—32.5,16.1,13.3,56.7,32.7,65,2017,United Kingdom
543,Louisiana State University United States,"28,541",19.9,5%,52:48:00,27.6—32.5,31.1,20.2,42.1,32.1,29.7,2017,United States
544,Mahidol University Thailand,"28,665",7.7,3%,63:37:00,27.6—32.5,29.4,13.4,36.8,50.8,42.9,2017,Thailand
545,University of Maribor Slovenia,"13,956",16.5,3%,,27.6—32.5,16,13.1,51.2,39.6,35.5,2017,Slovenia
546,Memorial University of Newfoundland Canada,"15,403",15.7,13%,57:43:00,27.6—32.5,18.8,16.8,50.9,52.1,37.9,2017,Canada
547,Middlesex University United Kingdom,"16,033",20.4,44%,60:40:00,27.6—32.5,18.5,13.2,39.5,32.2,84.9,2017,United Kingdom
548,University of Minho Portugal,"18,475",18.4,10%,54:46:00,27.6—32.5,22.2,22.1,39.2,50.3,46.3,2017,Portugal
549,Missouri University of Science and Technology United States,"7,884",23,17%,1.011805556,27.6—32.5,20,24.7,34,45.4,65.3,2017,United States
550,Montana State University United States,"13,360",18.6,5%,45:55:00,27.6—32.5,18.7,20.7,56.7,43.3,26.2,2017,United States
551,Monterrey Institute of Technology Mexico,"14,168",20,15%,39 : 61,27.6—32.5,25,16.6,36.5,93.5,67.6,2017,Mexico
552,National Autonomous University of Mexico Mexico,"139,544",11.9,5%,51:49:00,27.6—32.5,36.8,33,17.8,60.2,37.2,2017,Mexico
553,National Institute of Applied Sciences of Lyon ( I N S A Lyon) France,"6,215",8.6,30%,32 : 68,27.6—32.5,27.3,11.9,43,66.7,76.4,2017,France
554,National Taiwan Normal University Taiwan,"10,752",12.9,23%,56:44:00,27.6—32.5,28.2,31.1,17.6,78.3,44.4,2017,Taiwan
555,National Yang- Ming University Taiwan,"4,363",5.2,2%,48:52:00,27.6—32.5,31.5,15.8,37.7,35.5,17.1,2017,Taiwan
556,National and Kapodistrian University of Athens Greece,"61,985",32.2,9%,61:39:00,27.6—32.5,27,16.4,46.8,38,43,2017,Greece
557,University of Nebraska Medical Center United States,"2,847",2.5,8%,66:34:00,27.6—32.5,36.4,12.9,35.8,37.1,36.8,2017,United States
558,New Jersey Institute of Technology United States,"9,743",18,21%,24 : 76,27.6—32.5,21.3,17.8,47.9,47.6,55.1,2017,United States
559,N O V A University of Lisbon Portugal,"19,425",18.5,12%,49:51:00,27.6—32.5,23.7,21.7,45.2,42.3,52,2017,Portugal
560,Oklahoma State University United States,"21,252",21.4,7%,49:51:00,27.6—32.5,26.4,24.7,41.7,36.3,27.2,2017,United States
561,Old Dominion University United States,"20,131",20.2,3%,54:46:00,27.6—32.5,23.1,17.7,53.2,1.7,27.5,2017,United States
562,Otto von Guericke University of Magdeburg Germany,"14,104",11.7,13%,42:58:00,27.6—32.5,23,14.2,40.3,41.1,49.2,2017,Germany
563,University of Paderborn Germany,"19,621",48.1,9%,,27.6—32.5,23.6,22.3,35.9,41.4,40.6,2017,Germany
564,University of Palermo Italy,"46,200",24.7,1%,59:41:00,27.6—32.5,17.8,11.1,70.5,34.2,24.1,2017,Italy
565,University of Parma Italy,"26,159",30.1,6%,56:44:00,27.6—32.5,15.1,19.8,58.2,37.2,36.4,2017,Italy
566,Pontifical Javeriana University Colombia,"22,794",17.3,1%,52:48:00,27.6—32.5,15.8,8,63.7,32.8,44,2017,Colombia
567,Pusan National University South Korea,"24,882",19.8,12%,51:49:00,27.6—32.5,27.8,27.1,25.6,63.8,33.9,2017,South Korea
568,Qatar University Qatar,"11,844",18.7,43%,72:28:00,27.6—32.5,16.2,16.3,45.2,41.8,99.9,2017,Qatar
569,University of Regina Canada,"11,821",23.4,14%,61:39:00,27.6—32.5,16.5,11.9,48.8,34.8,50.9,2017,Canada
570,University of Rennes 1 France,"26,171",29.8,14%,51:49:00,27.6—32.5,22.3,17,50.7,41.6,54.9,2017,France
571,Roskilde University Denmark,"6,023",14.6,8%,62:38:00,27.6—32.5,17.9,28.3,39.9,35.6,47.1,2017,Denmark
572,Sejong University South Korea,"11,622",16.4,4%,45:55:00,27.6—32.5,21.5,15.7,47.4,35.6,29.8,2017,South Korea
573,Semmelweis University Hungary,"12,592",10.7,25%,64:36:00,27.6—32.5,24,12.8,50.2,34.5,71.3,2017,Hungary
574,Sharif University of Technology Iran,"11,177",18.4,0%,26 : 74,27.6—32.5,25.1,27.4,37.6,85.3,17.9,2017,Iran
575,Université de Sherbrooke Canada,"14,367",12.3,8%,55:45:00,27.6—32.5,22.2,13.3,45.8,34.7,56.2,2017,Canada
576,University of Siena Italy,"18,244",14.4,8%,59:41:00,27.6—32.5,20.7,13.8,52.2,34.7,42.4,2017,Italy
577,Sogang University South Korea,"10,494",23.9,5%,42:58:00,27.6—32.5,24.9,27.5,32.7,48.4,26,2017,South Korea
578,Soochow University China,"43,366",15.1,2%,53:47:00,27.6—32.5,19.7,15.8,58.8,68.1,18.3,2017,China
579,Southeast University China,"31,983",11.7,4%,,27.6—32.5,27.2,30.4,28.9,92.7,22,2017,China
580,Southern Cross University Australia,"9,143",35.4,15%,65:35:00,27.6—32.5,16.9,23.1,47.1,38.6,52.6,2017,Australia
581,S U N Y University at Albany United States,"15,363",16,8%,52:48:00,27.6—32.5,23.5,22.8,45.8,32.7,34.4,2017,United States
582,University of the Sunshine Coast Australia,"7,512",28.5,16%,64:36:00,27.6—32.5,15.2,17.9,47.1,33.5,60,2017,Australia
583,Tampere University of Technology Finland,"5,696",15.3,13%,1.011805556,27.6—32.5,23,14.9,44.3,64.6,56.1,2017,Finland
584,University of Texas at Arlington United States,"26,833",24.1,11%,58:42:00,27.6—32.5,20,17.4,48.3,40.7,36.3,2017,United States
585,Tianjin University China,"30,103",12.1,1%,,27.6—32.5,32.6,29.2,21.9,99.3,16.5,2017,China
586,University of Toledo United States,"18,916",16.5,10%,50:50:00,27.6—32.5,32.8,14.1,33.6,44.3,38.8,2017,United States
587,Tomsk Polytechnic University Russian Federation,"10,980",6.5,20%,38 : 62,27.6—32.5,31.3,16.2,43.2,59.1,40.6,2017,Russian Federation
588,Tomsk State University Russian Federation,"8,565",8.3,18%,58:42:00,27.6—32.5,38.2,22.7,15.4,61.8,48,2017,Russian Federation
589,Tongji University China,"36,432",13.6,12%,38 : 62,27.6—32.5,32.4,35.2,22.3,98.7,39.2,2017,China
590,The University of Tulsa United States,"4,682",12.4,26%,43:57:00,27.6—32.5,33.6,15.3,41.9,66.6,44.6,2017,United States
591,University of Ulsan South Korea,"14,841",13.6,2%,45:55:00,27.6—32.5,19.4,18.8,60.8,54.7,18.7,2017,South Korea
592,Ulster University United Kingdom,"17,660",14,7%,56:44:00,27.6—32.5,18.7,15.3,49.5,33.1,70.7,2017,United Kingdom
593,United Arab Emirates University United Arab Emirates,"7,101",8.8,27%,77:23:00,27.6—32.5,24,16,38.7,33.2,95.4,2017,Emirates
594,University of Urbino Carlo Bo Italy,"13,381",33.8,7%,61:39:00,27.6—32.5,14.1,7.9,59.5,35,37.7,2017,Italy
595,University of Valencia Spain,"52,339",16.4,9%,60:40:00,27.6—32.5,20.9,18.4,50.5,34.4,41.7,2017,Spain
596,Polytechnic University of Valencia Spain,"25,288",10.6,11%,38 : 62,27.6—32.5,22.1,24.8,43.9,44.3,41.9,2017,Spain
597,University of Warsaw Poland,"47,940",13.7,7%,67:33:00,27.6—32.5,25,16.5,45.2,32.7,44.2,2017,Poland
598,Warsaw University of Technology Poland,"34,708",14.6,3%,34 : 66,27.6—32.5,18.4,9.9,59,36.7,21.5,2017,Poland
599,University of Wisconsin- Milwaukee United States,"22,442",18.2,6%,52:48:00,27.6—32.5,21.1,17.8,53.6,34,28.2,2017,United States
600,Xi’an Jiaotong University China,"31,851",11,4%,33 : 67,27.6—32.5,35.3,26.3,32.9,54.9,26.2,2017,China
601,University of Zaragoza Spain,"30,733",11.7,5%,55:45:00,27.6—32.5,20.3,12.5,49.7,38.6,35.1,2017,Spain
602,University of A Coruña Spain,"16,598",12.7,2%,51:49:00,18.6—27.5,17.6,10.9,23.7,35.5,27.3,2017,Spain
603,A G H University of Science and Technology Poland,"33,244",15.1,2%,36 : 64,18.6—27.5,16.1,11,40.3,36.6,19.4,2017,Poland
604,Ajou University South Korea,"11,724",9.7,4%,35 : 65,18.6—27.5,20.8,12.4,28.1,48.4,22.2,2017,South Korea
605,University of Alcalá Spain,"16,820",12.5,20%,58:42:00,18.6—27.5,19.6,11.5,31.8,42.2,55.8,2017,Spain
606,Alfaisal University Saudi Arabia,"1,473",12.3,33%,36 : 64,18.6—27.5,16.9,7.3,32.2,37.4,96,2017,Saudi Arabia
607,Aligarh Muslim University India,"15,627",12.3,2%,29 : 71,18.6—27.5,25.7,9.5,30.5,36.2,21.9,2017,India
608,American University of Sharjah United Arab Emirates,"5,545",15,84%,48:52:00,18.6—27.5,16.3,12.3,13.6,33.2,95.3,2017,Emirates
609,American University in Cairo Egypt,"5,875",13.9,6%,53:47:00,18.6—27.5,24.8,8.7,16.4,33.2,69.4,2017,Egypt
610,Amirkabir University of Technology Iran,"12,468",22.8,1%,35 : 65,18.6—27.5,22.7,18.9,35.5,59.9,15.4,2017,Iran
611,University of Antioquia Colombia,"39,516",24.4,0%,50:50:00,18.6—27.5,16.5,18.5,13.9,43.3,38.8,2017,Colombia
612,"Asia University, Taiwan Taiwan","12,330",26.5,2%,54:46:00,18.6—27.5,13.5,18.4,24.1,45.1,19.6,2017,Taiwan
613,Auburn University United States,"22,282",17.6,5%,50:50:00,18.6—27.5,31.7,18.3,24.2,40,30.9,2017,United States
614,Austral University of Chile Chile,"14,061",17.1,2%,49:51:00,18.6—27.5,16.6,9.8,20,43.8,47.4,2017,Chile
615,Australian Catholic University Australia,"21,123",31.1,10%,72:28:00,18.6—27.5,14.9,17.7,44.2,35.4,40.3,2017,Australia
616,Babeş- Bolyai University Romania,"37,128",23,2%,62:38:00,18.6—27.5,25.2,11.5,29.9,32.7,38.1,2017,Romania
617,Bauman Moscow State Technical University Russian Federation,"18,357",3.7,5%,1.011805556,18.6—27.5,35.9,18.3,3.1,44,17.4,2017,Russian Federation
618,University of Bedfordshire United Kingdom,"12,959",19.1,33%,58:42:00,18.6—27.5,14.9,10,22.6,32.8,73.1,2017,United Kingdom
619,Beijing Institute of Technology China,"27,603",12.7,6%,34 : 66,18.6—27.5,30,24.7,13,78.4,19.2,2017,China
620,University of Beira Interior Portugal,"6,930",15.4,7%,52:48:00,18.6—27.5,18.5,12.7,42.4,32.6,37.7,2017,Portugal
621,"Birla Institute of Technology and Science, Pilani India","12,292",17.5,0%,0.847916667,18.6—27.5,16.9,7.5,38.9,33.1,15.5,2017,India
622,Bournemouth University United Kingdom,"11,692",17.4,18%,57:43:00,18.6—27.5,17,14.9,32.4,32.4,72.7,2017,United Kingdom
623,University of Bradford United Kingdom,"10,296",18.9,29%,54:46:00,18.6—27.5,17.9,14.4,25.9,36,78.2,2017,United Kingdom
624,University of Brighton United Kingdom,"15,573",17.1,21%,58:42:00,18.6—27.5,15.8,12.3,37.4,33.5,64.7,2017,United Kingdom
625,Brno University of Technology Czech Republic,"22,985",20.5,17%,28 : 72,18.6—27.5,17.6,12,30.1,38.8,40.4,2017,Czech Republic
626,Budapest University of Technology and Economics Hungary,"20,584",21.6,3%,31 : 69,18.6—27.5,15.8,13.6,32.2,45.8,28.5,2017,Hungary
627,C O M S A T S University Islamabad Pakistan,"28,626",10.6,0%,1.011805556,18.6—27.5,16.7,7.1,45.2,32.1,43.5,2017,Pakistan
628,University of Calcutta India,"18,883",34.1,0%,50:50:00,18.6—27.5,32.6,11.1,16.6,33.5,14,2017,India
629,Capital Medical University China,"12,080",7.3,3%,70:30:00,18.6—27.5,27.1,18.2,17.1,34.2,19.1,2017,China
630,University of Castilla- La Mancha Spain,"25,646",15.5,4%,56:44:00,18.6—27.5,16.8,10.8,35.3,34.3,30.5,2017,Spain
631,University of Central Lancashire United Kingdom,"17,703",16.8,16%,57:43:00,18.6—27.5,15.4,11.1,33,32.7,55.7,2017,United Kingdom
632,Chang Gung University Taiwan,"7,504",12.6,1%,43:57:00,18.6—27.5,21.3,25.1,30.3,36.4,17.1,2017,Taiwan
633,Carlos I I I University of Madrid Spain,"15,787",10.9,14%,43:57:00,18.6—27.5,24.7,15.9,29.6,37.2,53.1,2017,Spain
634,"University of Chemistry and Technology, Prague Czech Republic","4,525",10.6,19%,63:37:00,18.6—27.5,24.1,7.2,23.4,39,48.6,2017,Czech Republic
635,Chiang Mai University Thailand,"37,084",16.8,1%,45:55:00,18.6—27.5,18.6,11.5,29.7,35.9,33.7,2017,Thailand
636,Chiba University Japan,"14,085",10.2,5%,37 : 63,18.6—27.5,27.6,16.3,32.7,51.7,23.1,2017,Japan
637,"China University of Geosciences, Wuhan China","29,098",20.1,3%,,18.6—27.5,20,20.3,35.3,50.2,18.3,2017,China
638,"China University of Petroleum, Beijing China","14,997",20.2,6%,,18.6—27.5,24.3,25.5,8.8,100,18.3,2017,China
639,Jeonbuk National University South Korea,"23,596",15.1,3%,44:56:00,18.6—27.5,19.2,14.9,25.6,36.1,27.7,2017,South Korea
640,Chonnam National University South Korea,"35,577",19.3,3%,33 : 67,18.6—27.5,17.5,13.4,31.1,35.6,22.5,2017,South Korea
641,Chulalongkorn University Thailand,"38,368",14.7,3%,59:41:00,18.6—27.5,26.6,16.8,19,50.2,33,2017,Thailand
642,Chung Yuan Christian University Taiwan,"15,187",30.3,5%,41:59:00,18.6—27.5,14.9,23.2,17.7,43.2,21.5,2017,Taiwan
643,Clemson University United States,"19,743",17,7%,46:54:00,18.6—27.5,23.5,22,33,38.8,35.6,2017,United States
644,Comenius University in Bratislava Slovakia,"22,683",11.4,10%,64:36:00,18.6—27.5,21.9,11.7,24,32.4,47.9,2017,Slovakia
645,University of Concepción Chile,"26,253",17.6,1%,50:50:00,18.6—27.5,15.5,13,20.8,56.4,46.2,2017,Chile
646,Coventry University United Kingdom,"21,285",13.9,41%,48:52:00,18.6—27.5,17,9.2,27.7,32.6,76.1,2017,United Kingdom
647,Czech Technical University in Prague Czech Republic,"22,015",13.6,15%,30 : 70,18.6—27.5,18.9,20.8,36.4,38.5,42.4,2017,Czech Republic
648,Dalian University of Technology China,"36,595",15.5,2%,34 : 66,18.6—27.5,21.8,20.1,29.3,81.5,21,2017,China
649,De Montfort University United Kingdom,"16,081",18.8,23%,58:42:00,18.6—27.5,16.3,12.4,37.7,32.8,62.1,2017,United Kingdom
650,University of Delhi India,"22,494",20.4,1%,49:51:00,18.6—27.5,39,17.3,21.9,32.1,15.9,2017,India
651,Diego Portales University Chile,"15,868",14.2,2%,48:52:00,18.6—27.5,11.8,8.5,52.2,32.8,48.6,2017,Chile
652,Dublin Institute of Technology Ireland,"14,215",19.6,24%,40 : 60,18.6—27.5,15,10.4,27.7,32.1,72.6,2017,Ireland
653,University of East London United Kingdom,"13,184",23.3,33%,60:40:00,18.6—27.5,18.8,12.8,11.7,32.2,76.7,2017,United Kingdom
654,Eastern Mediterranean University Northern Cyprus,"16,053",31.5,34%,37 : 63,18.6—27.5,13.3,7.7,24.1,32.8,71.5,2017,Cyprus
655,Edinburgh Napier University United Kingdom,"10,644",20.4,31%,56:44:00,18.6—27.5,14.2,10.6,23.6,35.1,73.6,2017,United Kingdom
656,Ehime University Japan,"9,597",11.3,3%,37 : 63,18.6—27.5,24.3,29.5,18.2,37.5,24.5,2017,Japan
657,Eötvös Loránd University Hungary,"24,868",15.7,7%,63:37:00,18.6—27.5,20.7,11.8,34.8,32.9,46.5,2017,Hungary
658,Universidade Federal do A B C ( U F A B C) Brazil,"11,423",20.8,1%,,18.6—27.5,14.9,12.8,33.4,36.4,31.9,2017,Brazil
659,Federal University of Minas Gerais Brazil,"42,240",14.1,1%,55:45:00,18.6—27.5,30.6,14.3,25.5,33.6,22.7,2017,Brazil
660,Universidade Federal do Paraná ( U F P R) Brazil,"23,673",11.3,1%,54:46:00,18.6—27.5,24.3,23.9,8,32.1,17.2,2017,Brazil
661,Universidade Federal do Rio Grande do Sul Brazil,"38,897",14.1,1%,51:49:00,18.6—27.5,31,10.8,23.9,32.1,21.5,2017,Brazil
662,Federal University of Rio de Janeiro Brazil,"53,377",12.9,2%,54:46:00,18.6—27.5,31.1,15.7,20.1,41.7,27.9,2017,Brazil
663,Universidade Federal de Santa Catarina Brazil,"33,360",14.3,3%,44:56:00,18.6—27.5,25.3,12.4,20.1,54,24.4,2017,Brazil
